money,brand,model,year,color,fuel_type,door,gear,motor,body_type,kilometers,currency
7899900,Volkswagen,Amarok,2018,Blanco,Diesel,4,Manual,2,Pick-Up,79000,pesos
3150000,Honda,Fit,2013,Blanco,Nafta,5,Manual,1.5,Hatchback,82000,pesos
2950000,Toyota,Etios,2017,Blanco,Nafta,5,Manual,1.5,Hatchback,84000,pesos
4459900,Renault,Duster Oroch,2019,Blanco,Nafta,4,Manual,1.6,SUV,62000,pesos
3150000,Chevrolet,Cruze,2014,Plateado,Nafta,4,Manual,1.8,Sedain,61000,pesos
13499,Volkswagen,Vento,2012,Plateado,Nafta,4,Automatic,2,Sedain,196000,Dollar
3485000,Volkswagen,Polo,2017,Gris,Nafta,4,Manual,1.6,Hatchback,49000,pesos
3189900,Renault,Kwid,2020,Rojo,Nafta,5,Manual,1,Hatchback,39000,pesos
3289900,Renault,Megan III,2016,Azul,Nafta,4,Manual,1.6,Hatchback,69000,pesos
12490000,Toyota,Corolla Cross,2022,Negro,Nafta,5,Automatic,1.8,SUV,2000,pesos
2689900,Peugeot,308,2012,Blanco,Nafta,5,Manual,1.6,Hatchback,79000,pesos
35499,Toyota,Hilux,2020,Plateado,Diesel,4,Automatic,2.8,Pick-Up,57700,Dollar
3489900,Hyundai,Tucson,2011,Plateado,Nafta,5,Manual,2,SUV,137000,pesos
3589900,Ford,Focus III,2015,Blanco,Nafta,5,Automatic,2,Hatchback,79000,pesos
2989900,Fiat,500,2014,Azul,Nafta,3,Manual,1.4,Hatchback,69000,pesos
13949900,Chevrolet,Trailblazer,2021,Gris,Diesel,5,Automatic,2.8,SUV,23000,pesos
3189900,Chevrolet,Onix,2016,Rojo,Nafta/CNG,5,Automatic,1.4,Hatchback,60000,pesos
2500000,Subaru,XV,2011,Blanco,Nafta,5,Automatic,2,Hatchback,204000,pesos
1760000,Fiat,Uno,2010,Rojo,Nafta,5,Manual,1.8,Hatchback,128000,pesos
